complex,complex_label,replicate,method,window_start_ns,window_end_ns,window,dt_ps,layer,delta_total_kcal_mol,delta_total_sd,delta_total_sem,source_file
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep1,GB,80,100,80-100,20,gb_window_or_terminal,-35.44,2.34,0.07,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep1_gb_w80_100_dt20ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep2,GB,80,100,80-100,20,gb_window_or_terminal,-50.79,3.59,0.11,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep2_gb_w80_100_dt20ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep3,GB,80,100,80-100,20,gb_window_or_terminal,-41.67,12.31,0.39,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep3_gb_w80_100_dt20ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep1,GB,0,20,00-20,100,gb_window_or_terminal,-35.55,3.77,0.27,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep1_gb_w00_20_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep1,GB,20,40,20-40,100,gb_window_or_terminal,-32.84,7.32,0.52,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep1_gb_w20_40_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep1,GB,40,60,40-60,100,gb_window_or_terminal,-32.44,4.31,0.3,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep1_gb_w40_60_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep1,GB,60,80,60-80,100,gb_window_or_terminal,-30.98,3.98,0.28,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep1_gb_w60_80_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep1,GB,80,100,80-100,100,gb_window_or_terminal,-35.36,2.32,0.16,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep1_gb_w80_100_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep2,GB,0,20,00-20,100,gb_window_or_terminal,-48.14,2.8,0.2,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep2_gb_w00_20_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep2,GB,20,40,20-40,100,gb_window_or_terminal,-51.72,3.53,0.25,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep2_gb_w20_40_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep2,GB,40,60,40-60,100,gb_window_or_terminal,-53.03,3.97,0.28,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep2_gb_w40_60_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep2,GB,60,80,60-80,100,gb_window_or_terminal,-55.44,3.14,0.22,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep2_gb_w60_80_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep2,GB,80,100,80-100,100,gb_window_or_terminal,-50.64,3.51,0.25,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep2_gb_w80_100_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep3,GB,0,20,00-20,100,gb_window_or_terminal,-41.85,3.05,0.22,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep3_gb_w00_20_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep3,GB,20,40,20-40,100,gb_window_or_terminal,-41.44,3.1,0.22,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep3_gb_w20_40_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep3,GB,40,60,40-60,100,gb_window_or_terminal,-42.66,2.71,0.19,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep3_gb_w40_60_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep3,GB,60,80,60-80,100,gb_window_or_terminal,-41.07,2.87,0.2,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep3_gb_w60_80_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep3,GB,80,100,80-100,100,gb_window_or_terminal,-42.21,11.52,0.81,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_gb_windows/mmpbsa_Cypermethrin_CRY2_rep3_gb_w80_100_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep1,PB,80,100,80-100,100,pb_terminal,-2.49,2.9,0.2,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_pb_terminal/mmpbsa_Cypermethrin_CRY2_rep1_pb_w80_100_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep2,PB,80,100,80-100,100,pb_terminal,1.92,4.81,0.34,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_pb_terminal/mmpbsa_Cypermethrin_CRY2_rep2_pb_w80_100_dt100ps/FINAL_RESULTS_MMPBSA.dat
Cypermethrin_CRY2,Cypermethrin-CRY2(4MLP),rep3,PB,80,100,80-100,100,pb_terminal,3.7,3.91,0.28,F:/SHENGXIN/环境蓝海/项目_Chronotoxicology_污染物昼夜节律/output/md/cry2_fulltraj_9gb/mmpbsa_pb_terminal/mmpbsa_Cypermethrin_CRY2_rep3_pb_w80_100_dt100ps/FINAL_RESULTS_MMPBSA.dat
