run,system,replicate,metric,n,mean,sd,median,min,q05,q95,max,source_file
apo_CSNK1D_5OKT_rep1,apo,rep1,backbone_rmsd_nm,10001,0.15095923700629937,0.02047548342027771,0.1497397,0.0005018,0.1207011,0.1862603,0.278795,output\md\csnk1d_p48730_5okt\metrics\apo_CSNK1D_5OKT_rep1\backbone_rmsd.xvg
apo_CSNK1D_5OKT_rep1,apo,rep1,protein_rg_nm,10001,1.9693700669933007,0.01925893506711395,1.968594,1.917791,1.941173,2.001664,2.058601,output\md\csnk1d_p48730_5okt\metrics\apo_CSNK1D_5OKT_rep1\protein_rg.xvg
apo_CSNK1D_5OKT_rep1,apo,rep1,protein_sasa_nm2,10001,150.08010538946107,3.2528050799413037,150.182,138.805,144.604,155.218,160.099,output\md\csnk1d_p48730_5okt\metrics\apo_CSNK1D_5OKT_rep1\protein_sasa.xvg
BPA_CSNK1D_5OKT_rep1,BPA,rep1,backbone_rmsd_nm,10001,0.19949372243775623,0.027938208264289794,0.2007824,0.0005129,0.1501133,0.2409868,0.2993374,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep1\backbone_rmsd.xvg
BPA_CSNK1D_5OKT_rep1,BPA,rep1,protein_rg_nm,10001,2.014717502049795,0.013564987394421742,2.015191,1.950678,1.992781,2.036241,2.066545,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep1\protein_rg.xvg
BPA_CSNK1D_5OKT_rep1,BPA,rep1,protein_sasa_nm2,10001,154.46106189381064,2.7164688222522955,154.583,143.132,149.905,158.697,163.405,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep1\protein_sasa.xvg
BPA_CSNK1D_5OKT_rep1,BPA,rep1,ligand_rmsd_fit_protein_nm,10001,1.2593731742225778,2.44434081534245,0.4888346,0.0004346,0.2936528,8.685667,8.9236746,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep1\ligand_rmsd_fit_protein.xvg
BPA_CSNK1D_5OKT_rep1,BPA,rep1,protein_ligand_mindist_nm,10001,0.2007931898310169,0.013695658299687153,0.2016855,0.1483577,0.1758008,0.2217673,0.2469089,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep1\protein_ligand_mindist.xvg
BPA_CSNK1D_5OKT_rep1,BPA,rep1,protein_ligand_contacts_0p35nm,10001,153.04079592040796,25.566379006938924,154.0,33.0,108.0,192.0,237.0,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep1\protein_ligand_contacts.xvg
BPA_CSNK1D_5OKT_rep2,BPA,rep2,backbone_rmsd_nm,10001,0.16902137408259174,0.023159424155838163,0.1655151,0.0005003,0.1385529,0.2147743,0.2761161,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep2\backbone_rmsd.xvg
BPA_CSNK1D_5OKT_rep2,BPA,rep2,protein_rg_nm,10001,1.993208680831917,0.017145382055851702,1.99111,1.946252,1.968205,2.024191,2.05398,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep2\protein_rg.xvg
BPA_CSNK1D_5OKT_rep2,BPA,rep2,protein_sasa_nm2,10001,152.9038925107489,2.3140357749060203,152.857,142.672,149.175,156.814,161.71,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep2\protein_sasa.xvg
BPA_CSNK1D_5OKT_rep2,BPA,rep2,ligand_rmsd_fit_protein_nm,10001,0.4100127341465853,0.08851939959425066,0.4471047,0.0004675,0.2203048,0.4868846,0.6681018,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep2\ligand_rmsd_fit_protein.xvg
BPA_CSNK1D_5OKT_rep2,BPA,rep2,protein_ligand_mindist_nm,10001,0.17893618420157983,0.01837491410840079,0.1740143,0.1438402,0.1570158,0.2177063,0.2469836,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep2\protein_ligand_mindist.xvg
BPA_CSNK1D_5OKT_rep2,BPA,rep2,protein_ligand_contacts_0p35nm,10001,133.46225377462252,22.573311677288114,134.0,46.0,94.0,169.0,215.0,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep2\protein_ligand_contacts.xvg
BPA_CSNK1D_5OKT_rep3,BPA,rep3,backbone_rmsd_nm,10001,0.15862658702129787,0.018137207507885705,0.1600697,0.000501,0.1266943,0.1854738,0.2300298,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep3\backbone_rmsd.xvg
BPA_CSNK1D_5OKT_rep3,BPA,rep3,protein_rg_nm,10001,1.978042495150485,0.01087116200404545,1.978227,1.932765,1.959962,1.995604,2.020234,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep3\protein_rg.xvg
BPA_CSNK1D_5OKT_rep3,BPA,rep3,protein_sasa_nm2,10001,151.91736896310368,2.365773639478768,151.926,143.121,148.041,155.822,160.84,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep3\protein_sasa.xvg
BPA_CSNK1D_5OKT_rep3,BPA,rep3,ligand_rmsd_fit_protein_nm,10001,0.877828707719228,2.153714129650616,0.2900805,0.0005222,0.2386941,8.7291212,8.9847898,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep3\ligand_rmsd_fit_protein.xvg
BPA_CSNK1D_5OKT_rep3,BPA,rep3,protein_ligand_mindist_nm,10001,0.19151133747625237,0.02124927885850603,0.1919533,0.1435062,0.1593077,0.2238771,0.2536197,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep3\protein_ligand_mindist.xvg
BPA_CSNK1D_5OKT_rep3,BPA,rep3,protein_ligand_contacts_0p35nm,10001,150.015298470153,22.076604492842794,151.0,69.0,113.0,185.0,220.0,output\md\csnk1d_p48730_5okt\metrics\BPA_CSNK1D_5OKT_rep3\protein_ligand_contacts.xvg
PFOA_CSNK1D_5OKT_rep1,PFOA,rep1,backbone_rmsd_nm,10001,0.16770696454354564,0.02009781656400368,0.1668874,0.0005011,0.1377323,0.2012146,0.2693798,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep1\backbone_rmsd.xvg
PFOA_CSNK1D_5OKT_rep1,PFOA,rep1,protein_rg_nm,10001,1.9988984658534146,0.013274325877876393,1.997412,1.951012,1.980216,2.022441,2.075709,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep1\protein_rg.xvg
PFOA_CSNK1D_5OKT_rep1,PFOA,rep1,protein_sasa_nm2,10001,153.06676772322768,2.5507879905907718,152.969,142.865,148.989,157.381,166.492,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep1\protein_sasa.xvg
PFOA_CSNK1D_5OKT_rep1,PFOA,rep1,ligand_rmsd_fit_protein_nm,10001,2.6165959625137485,3.771630791355038,0.3498877,0.0004821,0.2597418,8.8803387,9.0214825,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep1\ligand_rmsd_fit_protein.xvg
PFOA_CSNK1D_5OKT_rep1,PFOA,rep1,protein_ligand_mindist_nm,10001,0.18191512220777922,0.016304908290719265,0.1791319,0.1419615,0.1604685,0.2139111,0.2581955,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep1\protein_ligand_mindist.xvg
PFOA_CSNK1D_5OKT_rep1,PFOA,rep1,protein_ligand_contacts_0p35nm,10001,83.13528647135287,12.37776214589802,83.0,36.0,63.0,104.0,128.0,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep1\protein_ligand_contacts.xvg
PFOA_CSNK1D_5OKT_rep2,PFOA,rep2,backbone_rmsd_nm,10001,0.19326694186581342,0.024690643934141655,0.1908023,0.0004982,0.1580424,0.2373344,0.3035084,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep2\backbone_rmsd.xvg
PFOA_CSNK1D_5OKT_rep2,PFOA,rep2,protein_rg_nm,10001,2.005480495450455,0.013826637651041713,2.004952,1.949628,1.983244,2.028718,2.055236,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep2\protein_rg.xvg
PFOA_CSNK1D_5OKT_rep2,PFOA,rep2,protein_sasa_nm2,10001,153.4726895310469,2.426114515619448,153.516,144.537,149.401,157.416,163.909,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep2\protein_sasa.xvg
PFOA_CSNK1D_5OKT_rep2,PFOA,rep2,ligand_rmsd_fit_protein_nm,10001,0.367798698080192,0.05705203798964458,0.3654068,0.000461,0.2805502,0.4810387,0.5556303,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep2\ligand_rmsd_fit_protein.xvg
PFOA_CSNK1D_5OKT_rep2,PFOA,rep2,protein_ligand_mindist_nm,10001,0.18531927628237177,0.016096589950126187,0.1825542,0.1470172,0.164177,0.2171036,0.2580445,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep2\protein_ligand_mindist.xvg
PFOA_CSNK1D_5OKT_rep2,PFOA,rep2,protein_ligand_contacts_0p35nm,10001,76.42625737426258,12.618137203301915,76.0,34.0,56.0,98.0,123.0,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep2\protein_ligand_contacts.xvg
PFOA_CSNK1D_5OKT_rep3,PFOA,rep3,backbone_rmsd_nm,10001,0.17329185611438855,0.0224242616546109,0.173638,0.0005069,0.1366895,0.2099767,0.2812819,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep3\backbone_rmsd.xvg
PFOA_CSNK1D_5OKT_rep3,PFOA,rep3,protein_rg_nm,10001,1.9980551445855417,0.01453690934703429,1.997665,1.94871,1.975441,2.022931,2.057589,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep3\protein_rg.xvg
PFOA_CSNK1D_5OKT_rep3,PFOA,rep3,protein_sasa_nm2,10001,152.40166603339665,2.627728406942992,152.238,143.677,148.407,157.126,165.514,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep3\protein_sasa.xvg
PFOA_CSNK1D_5OKT_rep3,PFOA,rep3,ligand_rmsd_fit_protein_nm,10001,0.9672903435756425,2.239330500805929,0.3305558,0.0005126,0.2512178,8.7620802,9.0156364,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep3\ligand_rmsd_fit_protein.xvg
PFOA_CSNK1D_5OKT_rep3,PFOA,rep3,protein_ligand_mindist_nm,10001,0.1864015405759424,0.019866724330460807,0.1819531,0.1462054,0.1614279,0.2299498,0.2610095,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep3\protein_ligand_mindist.xvg
PFOA_CSNK1D_5OKT_rep3,PFOA,rep3,protein_ligand_contacts_0p35nm,10001,81.63803619638036,13.203293873238211,82.0,34.0,60.0,103.0,127.0,output\md\csnk1d_p48730_5okt\metrics\PFOA_CSNK1D_5OKT_rep3\protein_ligand_contacts.xvg
