cycle,model_set,outcome,is_primary,n,beta,se,ci_lo,ci_hi,p_value,covariates,fdr_within_tier
G,core_on_questionnaire_complete_cases,RA,TRUE,1327,-0.0023641086157705697,0.0029668887938989674,-0.008179210651812546,0.003450993420271406,0.46169271672346346,age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.9233854334469269
G,core_on_questionnaire_complete_cases,IV,TRUE,1327,-1.7034182904794728e-4,0.006940939205268522,-0.01377458267137425,0.013433899013278355,0.9813699247594774,age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.9813699247594774
G,core_on_questionnaire_complete_cases,IS,FALSE,1327,-0.013716564044347072,0.004974833962739427,-0.023467238611316346,-0.0039658894773777955,0.039967655887432924,age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.11990296766229877
G,core_on_questionnaire_complete_cases,M10,FALSE,1327,-0.48699761437211525,6.0338469171943165,-12.313337572072975,11.339342343328745,0.938802864643556,age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.938802864643556
G,core_on_questionnaire_complete_cases,L5,FALSE,1327,0.3066358332899449,1.4368490529990554,-2.5095883105882035,3.1228599771680936,0.8394372419611875,age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status),0.938802864643556
G,phq9_adjusted,RA,TRUE,1209,-0.0019984533011170908,0.002504875589979539,-0.0069080094574769865,0.0029111028552428054,0.4696535754111745,age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status) + phq9_total,0.7426860022849778
G,phq9_adjusted,IV,TRUE,1209,0.0025781786969942162,0.007326941479988152,-0.011782626603782561,0.016938983997770996,0.7426860022849778,age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status) + phq9_total,0.7426860022849778
G,phq9_adjusted,IS,FALSE,1209,-0.015590514095704784,0.005182816157056051,-0.025748833763534644,-0.005432194427874924,0.039623780584032875,age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status) + phq9_total,0.11887134175209862
G,phq9_adjusted,M10,FALSE,1209,-0.7548165151316265,6.1465808685378,-12.802115017465715,11.292481987202462,0.9081862231810418,age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status) + phq9_total,0.9081862231810418
G,phq9_adjusted,L5,FALSE,1209,0.3123254525672313,1.3080520619364568,-2.251456588828224,2.8761074939626865,0.8230170774923553,age + factor(sex) + factor(race) + bmi + pir + factor(smoke_status) + phq9_total,0.9081862231810418
