outcome,is_primary,beta_G,se_G,p_G,n_G,exposure,beta_H,se_H,p_H,n_H,beta_FE,se_FE,p_FE,beta_RE,se_RE,p_RE,ci_lo_RE,ci_hi_RE,Q,I2,tau2,p_het,k,dir_concordant,base_exposure,detection_rate_G,detection_class_G,detection_rate_H,detection_class_H,strict_continuous_meta,h_near_threshold_low,fdr_RE,fdr_FE,fdr_tier_RE,fdr_tier_FE,fdr_strict_outcome_RE,fdr_strict_outcome_FE,fdr_strict_tier_RE,fdr_strict_tier_FE
IV,TRUE,-0.00577053497293797,0.00900000666479462,0.5496422421573093,1213,PFNA,-0.01601683251131219,0.00680026892213656,0.09982232504081484,1364,-0.012293064772901728,0.005425635849821664,0.02346748077909,-0.012293064772901728,0.005425635849821664,0.02346748077909,-0.022927311038552188,-0.0016588185072512664,0.825082494459356,0,0,0.3636983422778355,2,TRUE,PFNA,0.9935691318327974,high,0.9865814696485623,high,TRUE,FALSE,0.18773984623272,0.18773984623272,0.18773984623272,0.18773984623272,0.14080488467454,0.14080488467454,0.28160976934908,0.28160976934908
IV,TRUE,-1.7034182904794728e-4,0.00694093920526852,0.9813699247594774,1327,BPA_cr,-0.00743054026561777,0.00413184990109278,0.16995939650370046,1403,-0.005530928296050739,0.003550393123098489,0.11927225829010735,-0.005530928296050739,0.003550393123098489,0.11927225829010735,-0.012489698817323777,0.0014278422252222995,0.8078380698395898,0,0,0.36876019890898504,2,TRUE,BPA,0.9013107170393216,high,0.9527156549520767,high,TRUE,FALSE,0.4770890331604294,0.31805935544028624,0.6361187108805725,0.4770890331604294,0.35781677487032204,0.2385445165802147,0.6053417658781299,0.4770890331604294
IV,TRUE,1.1192460690431372e-4,0.00775053095668987,0.9890367362427752,1213,PFOS,-0.01028621962819074,0.00664191494164338,0.2192178977289868,1262,-0.0058833677516824294,0.0050433670185679675,0.24338990566492336,-0.0058543851858396155,0.0051421490870276546,0.2549078267552112,-0.01593299739641382,0.004224227024734587,1.0377752120102741,3.6400187220794917,1.9678196656034556e-6,0.30833946380461896,2,FALSE,PFOS,0.9967845659163987,high,0.9891225525743292,high,TRUE,FALSE,0.5380815696694488,0.4867798113298467,0.7174420928925984,0.7174420928925984,0.4035611772520866,0.36508485849738503,0.6053417658781299,0.6022740133717998
IV,TRUE,5.551336929555973e-4,0.00776037356153356,0.9457456382311384,1213,PFDA,-0.01193193870721976,0.00591579408006316,0.13705766375520329,1364,-0.007342511667042165,0.004704695798688538,0.11859992337306502,-0.0066985183056311945,0.006161283174422986,0.2769504934294378,-0.018774633327500248,0.005377596716237857,1.6375440938235517,38.93294209470296,3.035347985748087e-5,0.2006627615174944,2,FALSE,PFDA,0.8695452457510335,high,0.8178913738019169,high,TRUE,FALSE,0.5380815696694488,0.31805935544028624,0.7174420928925984,0.4770890331604294,0.4035611772520866,0.2385445165802147,0.6053417658781299,0.4770890331604294
IV,TRUE,0.00592990204261315,0.00665332658236086,0.4136133043057575,1213,PFHxS,0.00353427303521471,0.00925591594037687,0.7280221918045753,1364,0.005113773412353108,0.005402427245999839,0.3438581394224165,0.005113773412353108,0.005402427245999839,0.3438581394224165,-0.005474983989806577,0.015702530814512793,0.04416726361749586,0,0,0.8335427271412078,2,TRUE,PFHxS,0.9862195682131374,high,0.987220447284345,high,TRUE,FALSE,0.5380815696694488,0.5380815696694488,0.7174420928925984,0.7174420928925984,0.4035611772520866,0.4035611772520866,0.6053417658781299,0.6022740133717998
IV,TRUE,-7.246062534828555e-4,0.00943546587505515,0.9417641064439028,1213,PFOA,-0.01121213723560947,0.00991425887770087,0.34033028125152676,1262,-0.005709025219088378,0.006834880036286737,0.4035611772520866,-0.005709025219088378,0.006834880036286737,0.4035611772520866,-0.019105390090210384,0.007687339652033627,0.5871662709598526,0,0,0.44351700093304947,2,TRUE,PFOA,0.9958658704639411,high,0.990572878897752,high,TRUE,FALSE,0.5380815696694488,0.5380815696694488,0.7174420928925984,0.7174420928925984,0.4035611772520866,0.4035611772520866,0.6053417658781299,0.6022740133717998
RA,TRUE,-0.00236410861577056,0.00296688879389896,0.46169271672346346,1327,BPA_cr,-0.00282476539349613,0.00450152665290935,0.5748373974592659,1403,-0.0025036143864993537,0.002477234841468093,0.3121845568284589,-0.0025036143864993537,0.002477234841468093,0.3121845568284589,-0.007358994675776816,0.002351765902778109,0.0073007436897032365,0,0,0.9319081044866085,2,TRUE,BPA,0.9013107170393216,high,0.9527156549520767,high,TRUE,FALSE,0.9622546954001168,0.7361126830099775,0.7174420928925984,0.7174420928925984,0.9622546954001168,0.6625014147089797,0.6053417658781299,0.6022740133717998
RA,TRUE,0.00242491175963601,0.00304609313396697,0.46209495811052653,1213,PFNA,0.00158970910685173,0.00484470382847958,0.7643786624275304,1364,0.002188282166538696,0.0025787297367501805,0.3961099267798551,0.002188282166538696,0.0025787297367501805,0.3961099267798551,-0.002866028117491657,0.00724259245056905,0.02129975296830168,0,0,0.8839653210437588,2,TRUE,PFNA,0.9935691318327974,high,0.9865814696485623,high,TRUE,FALSE,0.9622546954001168,0.7361126830099775,0.7174420928925984,0.7174420928925984,0.9622546954001168,0.6625014147089797,0.6053417658781299,0.6022740133717998
RA,TRUE,0.00121468915280092,0.00231879187415367,0.6227675554913166,1213,PFDA,9.873349451821833e-4,0.00286112166134405,0.7528069745619848,1364,0.0011245576184308937,0.0018014541353854696,0.5324634606663246,0.0011245576184308937,0.0018014541353854696,0.5324634606663246,-0.0024062924869246265,0.004655407723786414,0.0038111515686009125,0,0,0.9507742454741734,2,TRUE,PFDA,0.8695452457510335,high,0.8178913738019169,high,TRUE,FALSE,0.9622546954001168,0.7361126830099775,0.8519415370661193,0.7361126830099775,0.9622546954001168,0.6625014147089797,0.7099512808884327,0.6022740133717998
RA,TRUE,-5.71181673332789e-4,0.00263958278604543,0.8372345871566177,1213,PFOS,0.00424028322568683,0.00424316599990052,0.3912832408417511,1262,7.712651528510528e-4,0.002241299569725636,0.7307596847390627,7.712651528510528e-4,0.002241299569725636,0.7307596847390627,-0.003621682003811194,0.0051642123095133,0.9270514539852023,0,0,0.33563027679035407,2,FALSE,PFOS,0.9967845659163987,high,0.9891225525743292,high,TRUE,FALSE,0.9622546954001168,0.7729262655295674,0.9544729593557516,0.8244546832315386,0.9622546954001168,0.7307596847390627,0.8769116216868752,0.7307596847390627
